+----------------------+-----------+------+------+--------------+-------------+
| modelname            | thickness | dvs  | drho | criticalDist | awayFromCMB |
| Lamella_201500000351 |        10 |   20 |    5 |      50.4593 |          10 |
| Lamella_201500000352 |        10 |   20 |   10 |      50.4593 |          10 |
| Lamella_201500000353 |        15 |  -30 |   -5 |          100 |          10 |
| Lamella_201500000354 |        15 |  -30 |    0 |          100 |          10 |
| Lamella_201500000355 |        15 |  -30 |    5 |          100 |          10 |
| Lamella_201500000356 |        15 |  -30 |   10 |          100 |          10 |
| Lamella_201500000357 |        15 |  -25 |   -5 |          100 |          10 |
| Lamella_201500000358 |        15 |  -25 |    0 |          100 |          10 |
| Lamella_201500000359 |        15 |  -25 |    5 |          100 |          10 |
| Lamella_201500000360 |        15 |  -25 |   10 |          100 |          10 |
| Lamella_201500000361 |        15 |  -20 |   -5 |          100 |          10 |
| Lamella_201500000362 |        15 |  -20 |    0 |          100 |          10 |
| Lamella_201500000363 |        15 |  -20 |    5 |          100 |          10 |
| Lamella_201500000364 |        15 |  -20 |   10 |          100 |          10 |
| Lamella_201500000365 |        15 |  -15 |   -5 |          100 |          10 |
| Lamella_201500000366 |        15 |  -15 |    0 |          100 |          10 |
| Lamella_201500000367 |        15 |  -15 |    5 |          100 |          10 |
| Lamella_201500000368 |        15 |  -15 |   10 |          100 |          10 |
| Lamella_201500000369 |        15 |  -10 |   -5 |          100 |          10 |
| Lamella_201500000370 |        15 |  -10 |    0 |          100 |          10 |
| Lamella_201500000371 |        15 |  -10 |    5 |          100 |          10 |
| Lamella_201500000372 |        15 |  -10 |   10 |          100 |          10 |
| Lamella_201500000373 |        15 |   -5 |   -5 |          100 |          10 |
| Lamella_201500000374 |        15 |   -5 |    0 |          100 |          10 |
| Lamella_201500000375 |        15 |   -5 |    5 |          100 |          10 |
| Lamella_201500000376 |        15 |   -5 |   10 |          100 |          10 |
| Lamella_201500000377 |        15 |    0 |   -5 |          100 |          10 |
| Lamella_201500000378 |        15 |    0 |    0 |          100 |          10 |
| Lamella_201500000379 |        15 |    0 |    5 |          100 |          10 |
| Lamella_201500000380 |        15 |    0 |   10 |          100 |          10 |
| Lamella_201500000381 |        15 |    5 |   -5 |      70.1804 |          10 |
| Lamella_201500000382 |        15 |    5 |    0 |      70.1804 |          10 |
| Lamella_201500000383 |        15 |    5 |    5 |      70.1804 |          10 |
| Lamella_201500000384 |        15 |    5 |   10 |      70.1804 |          10 |
| Lamella_201500000385 |        15 |   10 |   -5 |      61.0571 |          10 |
| Lamella_201500000386 |        15 |   10 |    0 |      61.0571 |          10 |
| Lamella_201500000387 |        15 |   10 |    5 |      61.0571 |          10 |
| Lamella_201500000388 |        15 |   10 |   10 |      61.0571 |          10 |
| Lamella_201500000389 |        15 |   15 |   -5 |      54.9566 |          10 |
| Lamella_201500000390 |        15 |   15 |    0 |      54.9566 |          10 |
| Lamella_201500000391 |        15 |   15 |    5 |      54.9566 |          10 |
| Lamella_201500000392 |        15 |   15 |   10 |      54.9566 |          10 |
| Lamella_201500000393 |        15 |   20 |   -5 |      50.4075 |          10 |
| Lamella_201500000394 |        15 |   20 |    0 |      50.4075 |          10 |
